school_id,ncessch,school_name,entry_grade,projection_year,projection_type,grade,projected_enrollment,generated_at,survival_rate_min,survival_rate_median,survival_rate_max,entry_grade_low,entry_grade_high,entry_grade_median
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,max,Grade 2,10,2025-06-13T16:45:29.516059,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,max,Grade 3,13,2025-06-13T16:45:29.516062,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,max,Grade 4,10,2025-06-13T16:45:29.516065,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,max,Grade 5,8,2025-06-13T16:45:29.516067,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,max,Grade 6,10,2025-06-13T16:45:29.516070,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,max,Grade 7,16,2025-06-13T16:45:29.516072,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,max,Grade 8,7,2025-06-13T16:45:29.516075,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,max,Kindergarten,15,2025-06-13T16:45:29.516078,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,max,Grade 1,11,2025-06-13T16:45:29.516080,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,max,Grade 2,11,2025-06-13T16:45:29.516083,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,max,Grade 3,11,2025-06-13T16:45:29.516085,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,max,Grade 4,11,2025-06-13T16:45:29.516088,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,max,Grade 5,6,2025-06-13T16:45:29.516090,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,max,Grade 6,9,2025-06-13T16:45:29.516093,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,max,Grade 7,10,2025-06-13T16:45:29.516095,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,max,Grade 8,9,2025-06-13T16:45:29.516098,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,max,Kindergarten,15,2025-06-13T16:45:29.516101,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,max,Grade 1,11,2025-06-13T16:45:29.516104,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,max,Grade 2,11,2025-06-13T16:45:29.516107,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,max,Grade 3,12,2025-06-13T16:45:29.516109,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,max,Grade 4,9,2025-06-13T16:45:29.516112,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,max,Grade 5,7,2025-06-13T16:45:29.516114,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,max,Grade 6,6,2025-06-13T16:45:29.516117,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,max,Grade 7,9,2025-06-13T16:45:29.516119,1.0,1.0,1.0,,,
