location_point_id,address,city,state,zip_code,latitude,longitude,school_count,school_ids
1746294,8343 W Hwy 550,Emmalena,KY,41740.0,37.3426127,-82.9802006,7,1979594
1746336,110 Kentucky 3085,Flat Lick,KY,40935.0,36.8083132,-83.7573603,7,1979601
1746501,7210 Us 321 S,Hagerhill,KY,41222.0,37.7519837,-82.7828258,7,1979562
1746796,7777 Hwy 699,Leatherwood,KY,41731.0,37.1067215,-83.0898194,7,1979954
1747157,1097 North Hwy 11,Manchester,KY,40962.0,37.6565547,-83.7018968,7,1978632
1747347,523 N Hwy 66,Oneida,KY,40972.0,36.1450958,-96.0023638,7,1978921
1747672,5296 Hwy. 221,Stoney Fork,KY,40988.0,33.6737144,-82.176941,7,1978706
1747752,345 US Hwy 328 W,Waynesburg,KY,40489.0,37.3266924,-84.5673352,7,1979679
1748380,Highway 111,Evans,LA,70639.0,31.0699509,-93.4881776,7,1981636
1748741,1104 Recreation Blvd,Lake Charles,LA,70611.0,30.3502213,-93.2181477,7,1980661
1749531,31820 Highway 90 West,Slidell,LA,70460.0,30.2325555,-93.112905,7,1981531
1751635,1 Col Brian Duffy Way,Rockland,MA,2370.0,42.372136,-71.0674577,7,1985288
1752653,125 N Hilton Street,Baltimore,MD,21229.0,39.2880099,-76.6716142,7,1982709
1752676,1400 Orleans Street,Baltimore,MD,21231.0,39.2955681,-76.59875699999999,7,1982637
1752693,1500 Barclay Street,Baltimore,MD,21202.0,39.3072538,-76.6110082,7,1982712
1752700,1530 Presstman Street,Baltimore,MD,21217.0,39.3056641,-76.6429859,7,1982665
1752703,1600 Guilford Avenue,Baltimore,MD,21202.0,39.3081642,-76.6124786,7,1982695
1752731,200 Font Hill Avenue,Baltimore,MD,21223.0,39.2838727,-76.6639216,7,1982395
1752752,2100 Ashland Avenue,Baltimore,MD,21205.0,39.3014324,-76.5872151,7,1982701
1752757,2201 Pinewood Avenue,Baltimore,MD,21214.0,39.3657834,-76.57067719999999,7,1982606
1752786,2525 Kirk Avenue,Baltimore,MD,21218.0,39.3193923,-76.6003989,7,"1982711,1982718"
1752792,2625 Federal Street,Baltimore,MD,21213.0,39.3086293,-76.58065479999999,7,1982620
1752813,2810 Shirley Avenue,Baltimore,MD,21215.0,39.3340551,-76.6651849,7,1982714
1752817,2851 Kentucky Avenue,Baltimore,MD,21213.0,39.32427029999999,-76.5718366,7,1982692
1752838,3220 The Alameda,Baltimore,MD,21218.0,39.3260188,-76.5967667,7,1982550
1752902,4410 Frankford Avenue,Baltimore,MD,21206.0,39.3361093,-76.5488248,7,1982693
1752980,6401 Pioneer Drive,Baltimore,MD,21214.0,39.3655528,-76.5711972,7,1982671
1752990,701 Gold Street,Baltimore,MD,21217.0,39.3063955,-76.64064499999999,7,1982657
1752996,712 Cathedral Street,Baltimore,MD,21201.0,39.2982372,-76.6175336,7,1982681
1753039,900 Druid Hill Avenue,Baltimore,MD,21201.0,39.2979333,-76.6256391,7,1982698
1762365,901 STEARNS AVE E,EDEN VALLEY,MN,55329.0,45.3261094,-94.5352384,7,1991236
1765182,6800 W HWY 14,CLEVER,MO,65631.0,37.012985,-93.3993751,7,1994676
1765240,5450 N HWY Z,COLUMBIA,MO,65202.0,39.0013395,-92.3128326,7,1994338
1766406,34520 N. HWY. 41,MIAMI,MO,65344.0,39.1130758,-93.0804588,7,1995537
1766445,394 N HWY 19,MONTGOMERY CITY,MO,63361.0,38.0567996,-91.4013589,7,1995566
1766447,418 N HWY 19,MONTGOMERY CITY,MO,63361.0,38.0567996,-91.4013589,7,1995568
1766549,RTE 72 BOX 486,NORWOOD,MO,65717.0,37.5640347,-90.6770351,7,1994753
1766967,27870 Hwy C,SALEM,MO,65560.0,37.5986685,-91.7826303,7,1994734
1767232,100 S GARRISON,ST LOUIS,MO,63103.0,38.6315669,-90.2226399,7,1994217
1767234,1000 N GRAND,ST LOUIS,MO,63106.0,38.64305969999999,-90.2277218,7,1996383
1767236,1004 N JEFFERSON AVE,ST LOUIS,MO,63106.0,38.6394472,-90.2123872,7,1996326
1767246,1130 N EUCLID AVE,ST LOUIS,MO,63113.0,38.6569355,-90.2585356,7,1996378
1767251,1200 N JEFFERSON AVE,ST LOUIS,MO,63106.0,38.6408859,-90.2117982,7,1996328
1767254,1212 N 22nd St,ST LOUIS,MO,63106.0,38.6406826,-90.2079046,7,1994280
1767257,1220 N TENTH ST,ST LOUIS,MO,63106.0,38.6371793,-90.191284,7,1996349
1767258,1224 S 14TH ST,ST LOUIS,MO,63104.0,38.616841,-90.2050601,7,1996374
1767260,1301 HOGAN ST,ST LOUIS,MO,63106.0,38.6408261,-90.2032861,7,1996351
1767261,1311 TOWER GROVE AVE,ST LOUIS,MO,63110.0,38.6249242,-90.2570965,7,1996384
1767273,1616 CALIFORNIA,ST LOUIS,MO,63104.0,38.6166318,-90.2245395,7,1996370
1767274,1618 TOWER GROVE AVE,ST LOUIS,MO,63110.0,38.6201503,-90.2553491,7,1994266
1767280,1839 HOGAN ST,ST LOUIS,MO,63106.0,38.6466284,-90.2006304,7,1994131
1767283,1921 PRATHER AVE,ST LOUIS,MO,63139.0,38.6213711,-90.3043504,7,1996381
1767285,2 GATEWAY DR,ST LOUIS,MO,63106.0,38.6420486,-90.2110249,7,1996341
1767288,2050 ALLEN AVE,ST LOUIS,MO,63104.0,38.6103913,-90.2166696,7,1996363
1767291,2156 RUSSELL BLVD,ST LOUIS,MO,63104.0,38.6101093,-90.2194028,7,1996391
1767298,2745 MERAMEC ST,ST LOUIS,MO,63118.0,38.5798439,-90.2323447,7,1996358
1767299,2900 HADLEY,ST LOUIS,MO,63107.0,38.6529035,-90.1953845,7,1996376
1767303,3035 CASS AVE,ST LOUIS,MO,63106.0,38.6478602,-90.221242,7,1996366
1767304,310 NORTH 15 STREET,ST LOUIS,MO,63103.0,38.6309355,-90.2008036,7,1994263
1767305,3111 CORA AVE,ST LOUIS,MO,63115.0,38.6693145,-90.2453789,7,1996324
